ID,Education,educationText,Field2,fieldText2,profession,proftext,EngProf,Field,fieldText
1,4,MAplus,1,engineering,4,managers,0,1,engineering
2,4,MAplus,1,engineering,4,managers,0,1,engineering
3,4,MAplus,1,engineering,4,managers,0,1,engineering
4,4,MAplus,1,engineering,4,managers,0,1,engineering
5,4,MAplus,1,engineering,4,managers,0,1,engineering
6,4,MAplus,1,engineering,4,managers,0,1,engineering
7,4,MAplus,1,engineering,4,managers,0,1,engineering
8,4,MAplus,1,engineering,4,managers,0,1,engineering
9,4,MAplus,1,engineering,4,managers,0,1,engineering
10,4,MAplus,1,engineering,5,accountants,0,1,engineering
11,4,MAplus,1,engineering,5,accountants,0,1,engineering
12,4,MAplus,1,engineering,5,accountants,0,1,engineering
13,4,MAplus,1,engineering,5,accountants,0,1,engineering
14,4,MAplus,1,engineering,5,accountants,0,1,engineering
15,4,MAplus,1,engineering,5,accountants,0,1,engineering
16,4,MAplus,1,engineering,5,accountants,0,1,engineering
17,4,MAplus,1,engineering,5,accountants,0,1,engineering
18,4,MAplus,1,engineering,6,ceo,0,1,engineering
19,4,MAplus,1,engineering,6,ceo,0,1,engineering
20,4,MAplus,1,engineering,6,ceo,0,1,engineering
21,4,MAplus,1,engineering,6,ceo,0,1,engineering
22,4,MAplus,1,engineering,6,ceo,0,1,engineering
23,4,MAplus,1,engineering,6,ceo,0,1,engineering
24,4,MAplus,1,engineering,6,ceo,0,1,engineering
25,4,MAplus,1,engineering,7,nurses,0,1,engineering
26,4,MAplus,1,engineering,7,nurses,0,1,engineering
27,4,MAplus,1,engineering,7,nurses,0,1,engineering
28,4,MAplus,1,engineering,7,nurses,0,1,engineering
29,4,MAplus,1,engineering,7,nurses,0,1,engineering
30,4,MAplus,1,engineering,7,nurses,0,1,engineering
31,4,MAplus,1,engineering,7,nurses,0,1,engineering
32,4,MAplus,1,engineering,8,physician,0,1,engineering
33,4,MAplus,1,engineering,8,physician,0,1,engineering
34,4,MAplus,1,engineering,8,physician,0,1,engineering
35,4,MAplus,1,engineering,8,physician,0,1,engineering
36,4,MAplus,1,engineering,8,physician,0,1,engineering
37,4,MAplus,1,engineering,8,physician,0,1,engineering
38,4,MAplus,1,engineering,8,physician,0,1,engineering
39,4,MAplus,1,engineering,9,cashiers,0,1,engineering
40,4,MAplus,1,engineering,9,cashiers,0,1,engineering
41,4,MAplus,1,engineering,9,cashiers,0,1,engineering
42,4,MAplus,1,engineering,9,cashiers,0,1,engineering
43,4,MAplus,1,engineering,9,cashiers,0,1,engineering
44,4,MAplus,1,engineering,9,cashiers,0,1,engineering
45,4,MAplus,1,engineering,10,scientist,0,1,engineering
46,4,MAplus,1,engineering,10,scientist,0,1,engineering
47,4,MAplus,1,engineering,10,scientist,0,1,engineering
48,4,MAplus,1,engineering,10,scientist,0,1,engineering
49,4,MAplus,1,engineering,10,scientist,0,1,engineering
50,4,MAplus,1,engineering,10,scientist,0,1,engineering
51,4,MAplus,1,engineering,11,other,0,1,engineering
52,4,MAplus,1,engineering,11,other,0,1,engineering
53,4,MAplus,1,engineering,11,other,0,1,engineering
54,4,MAplus,1,engineering,11,other,0,1,engineering
55,4,MAplus,2,computer,11,other,0,2,business
56,4,MAplus,2,computer,11,other,0,2,business
57,4,MAplus,2,computer,11,other,0,2,business
58,4,MAplus,2,computer,11,other,0,2,business
59,4,MAplus,2,computer,11,other,0,2,business
60,4,MAplus,2,computer,11,other,0,2,business
61,4,MAplus,2,computer,11,other,0,2,business
62,4,MAplus,2,computer,11,other,0,2,business
63,4,MAplus,2,computer,11,other,0,2,business
64,4,MAplus,2,computer,11,other,0,2,business
65,4,MAplus,2,computer,11,other,0,2,business
66,4,MAplus,2,computer,11,other,0,2,business
67,4,MAplus,2,computer,11,other,0,2,business
68,4,MAplus,2,computer,11,other,0,2,business
69,4,MAplus,2,computer,11,other,0,2,business
70,4,MAplus,2,computer,11,other,0,2,business
71,4,MAplus,2,computer,11,other,0,2,business
72,4,MAplus,2,computer,11,other,0,2,business
73,4,MAplus,2,computer,11,other,0,2,business
74,4,MAplus,2,computer,11,other,0,2,business
75,4,MAplus,2,computer,11,other,0,2,business
76,4,MAplus,2,computer,11,other,0,2,business
77,4,MAplus,2,computer,11,other,0,2,business
78,4,MAplus,2,computer,11,other,0,2,business
79,4,MAplus,2,computer,11,other,0,2,business
80,4,MAplus,2,computer,11,other,0,2,business
81,4,MAplus,2,computer,11,other,0,2,business
82,4,MAplus,3,med,11,other,0,2,business
83,4,MAplus,3,med,11,other,0,2,business
84,4,MAplus,3,med,11,other,0,2,business
85,4,MAplus,3,med,11,other,0,2,business
86,4,MAplus,3,med,11,other,0,2,business
87,4,MAplus,3,med,11,other,0,2,business
88,4,MAplus,3,med,11,other,0,2,business
89,4,MAplus,3,med,11,other,0,2,business
90,4,MAplus,3,med,11,other,0,2,business
91,4,MAplus,3,med,11,other,0,2,business
92,4,MAplus,3,med,11,other,0,2,business
93,4,MAplus,3,med,11,other,0,2,business
94,4,MAplus,3,med,11,other,0,2,business
95,4,MAplus,3,med,11,other,0,2,business
96,4,MAplus,3,med,11,other,0,2,business
97,4,MAplus,3,med,11,other,0,2,business
98,4,MAplus,3,med,11,other,0,2,business
99,4,MAplus,3,med,11,other,0,2,business
100,4,MAplus,4,bio,11,other,0,3,med
101,4,MAplus,4,bio,11,other,0,3,med
102,4,MAplus,4,bio,11,other,0,3,med
103,4,MAplus,4,bio,11,other,0,3,med
104,4,MAplus,4,bio,11,other,0,3,med
105,4,MAplus,4,bio,11,other,0,3,med
106,4,MAplus,4,bio,11,other,0,3,med
107,4,MAplus,4,bio,11,other,0,3,med
108,4,MAplus,4,bio,11,other,0,3,med
109,4,MAplus,4,bio,11,other,0,3,med
110,4,MAplus,4,bio,11,other,0,3,med
111,4,MAplus,4,bio,11,other,0,3,med
112,4,MAplus,4,bio,11,other,0,3,med
113,4,MAplus,4,bio,11,other,0,3,med
114,4,MAplus,4,bio,11,other,0,3,med
115,4,MAplus,5,phySci,11,other,0,3,med
116,4,MAplus,5,phySci,11,other,0,3,med
117,4,MAplus,5,phySci,11,other,0,3,med
118,4,MAplus,5,phySci,11,other,0,4,socsci
119,4,MAplus,5,phySci,11,other,0,4,socsci
120,4,MAplus,5,phySci,11,other,0,4,socsci
121,3,BA,5,phySci,11,other,0,4,socsci
122,3,BA,5,phySci,11,other,0,4,socsci
123,3,BA,5,phySci,11,other,0,4,socsci
124,3,BA,5,phySci,11,other,0,4,socsci
125,3,BA,5,phySci,11,other,0,4,socsci
126,3,BA,5,phySci,11,other,0,4,socsci
127,3,BA,6,business,11,other,0,4,socsci
128,3,BA,6,business,11,other,0,4,socsci
129,3,BA,6,business,11,other,0,4,socsci
130,3,BA,6,business,11,other,0,4,socsci
131,3,BA,6,business,11,other,0,4,socsci
132,3,BA,6,business,11,other,0,4,socsci
133,3,BA,6,business,11,other,0,4,socsci
134,3,BA,6,business,11,other,0,4,socsci
135,3,BA,6,business,11,other,0,4,socsci
136,3,BA,6,business,11,other,0,5,bio
137,3,BA,6,business,11,other,0,5,bio
138,3,BA,6,business,11,other,0,5,bio
139,3,BA,6,business,11,other,0,5,bio
140,3,BA,6,business,11,other,0,5,bio
141,3,BA,6,business,11,other,0,5,bio
142,3,BA,6,business,11,other,0,5,bio
143,3,BA,6,business,11,other,0,5,bio
144,3,BA,6,business,11,other,0,5,bio
145,3,BA,6,business,11,other,0,5,bio
146,3,BA,6,business,11,other,0,5,bio
147,3,BA,6,business,11,other,0,5,bio
148,3,BA,6,business,11,other,0,5,bio
149,3,BA,6,business,11,other,0,5,bio
150,3,BA,6,business,11,other,0,5,bio
151,3,BA,6,business,11,other,0,6,ed
152,3,BA,6,business,11,other,0,6,ed
153,3,BA,6,business,11,other,0,6,ed
154,3,BA,6,business,11,other,0,6,ed
155,3,BA,6,business,11,other,0,6,ed
156,3,BA,6,business,11,other,0,6,ed
157,3,BA,6,business,11,other,0,6,ed
158,3,BA,6,business,11,other,0,6,ed
159,3,BA,6,business,11,other,0,6,ed
160,3,BA,6,business,11,other,0,6,ed
161,3,BA,6,business,11,other,0,6,ed
162,3,BA,6,business,11,other,0,6,ed
163,3,BA,6,business,11,other,0,6,ed
164,3,BA,6,business,11,other,0,7,phySci
165,3,BA,6,business,11,other,0,7,phySci
166,3,BA,6,business,11,other,0,7,phySci
167,3,BA,6,business,11,other,0,7,phySci
168,3,BA,6,business,11,other,0,7,phySci
169,3,BA,6,business,11,other,0,7,phySci
170,3,BA,6,business,11,other,0,7,phySci
171,3,BA,6,business,11,other,0,7,phySci
172,3,BA,7,socsci,11,other,0,7,phySci
173,3,BA,7,socsci,11,other,0,7,phySci
174,3,BA,7,socsci,11,other,0,7,phySci
175,3,BA,7,socsci,11,other,0,7,phySci
176,3,BA,7,socsci,11,other,0,8,other
177,3,BA,7,socsci,11,other,0,8,other
178,3,BA,7,socsci,11,other,0,8,other
179,3,BA,7,socsci,11,other,0,8,other
180,3,BA,7,socsci,11,other,0,8,other
181,3,BA,7,socsci,11,other,0,8,other
182,3,BA,7,socsci,11,other,0,8,other
183,3,BA,7,socsci,11,other,0,8,other
184,3,BA,7,socsci,11,other,0,8,other
185,3,BA,7,socsci,11,other,0,8,other
186,3,BA,7,socsci,11,other,0,8,other
187,3,BA,7,socsci,11,other,0,8,other
188,3,BA,7,socsci,11,other,0,8,other
189,3,BA,7,socsci,11,other,0,8,other
190,3,BA,8,ed,11,other,0,8,other
191,3,BA,8,ed,11,other,0,8,other
192,3,BA,8,ed,11,other,0,8,other
193,3,BA,8,ed,11,other,0,8,other
194,3,BA,8,ed,11,other,0,8,other
195,3,BA,8,ed,11,other,0,8,other
196,3,BA,8,ed,11,other,0,8,other
197,3,BA,8,ed,11,other,0,8,other
198,3,BA,8,ed,11,other,0,8,other
199,3,BA,8,ed,11,other,0,8,other
200,3,BA,8,ed,11,other,0,8,other
201,3,BA,8,ed,11,other,0,8,other
202,3,BA,8,ed,11,other,0,8,other
203,3,BA,9,other,11,other,0,8,other
204,3,BA,9,other,11,other,0,8,other
205,3,BA,9,other,11,other,0,8,other
206,3,BA,9,other,11,other,0,8,other
207,3,BA,9,other,11,other,0,8,other
208,3,BA,9,other,11,other,0,8,other
209,3,BA,9,other,11,other,0,8,other
210,3,BA,9,other,11,other,0,8,other
211,3,BA,9,other,11,other,0,8,other
212,3,BA,9,other,11,other,0,8,other
213,3,BA,9,other,11,other,0,8,other
214,3,BA,9,other,11,other,0,8,other
215,3,BA,9,other,11,other,0,8,other
216,3,BA,9,other,11,other,0,8,other
217,3,BA,9,other,11,other,0,8,other
218,3,BA,9,other,11,other,0,8,other
219,3,BA,9,other,11,other,0,8,other
220,3,BA,9,other,11,other,0,8,other
221,3,BA,9,other,11,other,0,8,other
222,3,BA,9,other,11,other,0,8,other
223,3,BA,9,other,11,other,0,8,other
224,3,BA,9,other,11,other,0,8,other
225,3,BA,9,other,11,other,0,8,other
226,3,BA,9,other,11,other,0,8,other
227,3,BA,9,other,11,other,0,8,other
228,3,BA,9,other,11,other,0,8,other
229,3,BA,9,other,11,other,0,8,other
230,3,BA,9,other,11,other,0,8,other
231,3,BA,9,other,11,other,0,8,other
232,3,BA,9,other,11,other,0,8,other
233,3,BA,9,other,11,other,0,8,other
234,3,BA,9,other,11,other,0,8,other
235,3,BA,9,other,11,other,0,8,other
236,3,BA,9,other,11,other,0,8,other
237,3,BA,9,other,11,other,0,8,other
238,3,BA,9,other,11,other,0,8,other
239,3,BA,9,other,11,other,0,8,other
240,3,BA,9,other,11,other,0,8,other
241,3,BA,9,other,11,other,0,8,other
242,3,BA,9,other,11,other,0,8,other
243,3,BA,9,other,11,other,0,8,other
244,3,BA,9,other,11,other,0,9,computer
245,3,BA,9,other,11,other,0,9,computer
246,3,BA,9,other,11,other,0,9,computer
247,3,BA,9,other,11,other,0,9,computer
248,3,BA,9,other,11,other,0,9,computer
249,3,BA,9,other,11,other,0,9,computer
250,3,BA,9,other,11,other,0,9,computer
251,3,BA,9,other,11,other,0,9,computer
252,3,BA,9,other,11,other,0,9,computer
253,3,BA,9,other,11,other,0,9,computer
254,3,BA,9,other,11,other,0,9,computer
255,3,BA,9,other,11,other,0,9,computer
256,3,BA,9,other,11,other,0,9,computer
257,3,BA,9,other,11,other,0,9,computer
258,3,BA,9,other,11,other,0,9,computer
259,3,BA,9,other,11,other,0,9,computer
260,3,BA,9,other,11,other,0,9,computer
261,3,BA,9,other,11,other,0,9,computer
262,3,BA,9,other,11,other,0,9,computer
263,3,BA,9,other,11,other,0,9,computer
264,3,BA,9,other,11,other,0,9,computer
265,3,BA,9,other,11,other,0,9,computer
266,3,BA,9,other,11,other,0,9,computer
267,3,BA,9,other,11,other,0,9,computer
268,3,BA,9,other,11,other,0,9,computer
269,3,BA,9,other,11,other,0,9,computer
270,3,BA,9,other,11,other,0,9,computer
271,2,SomeC,0,na,11,other,0,0,na
272,2,SomeC,0,na,1,postsecondary,2,0,na
273,2,SomeC,0,na,1,postsecondary,2,0,na
274,2,SomeC,0,na,1,postsecondary,2,0,na
275,2,SomeC,0,na,1,postsecondary,2,0,na
276,2,SomeC,0,na,1,postsecondary,2,0,na
277,2,SomeC,0,na,1,postsecondary,2,0,na
278,2,SomeC,0,na,1,postsecondary,2,0,na
279,2,SomeC,0,na,1,postsecondary,2,0,na
280,2,SomeC,0,na,1,postsecondary,2,0,na
281,2,SomeC,0,na,1,postsecondary,2,0,na
282,2,SomeC,0,na,1,postsecondary,2,0,na
283,2,SomeC,0,na,1,postsecondary,2,0,na
284,2,SomeC,0,na,1,postsecondary,2,0,na
285,2,SomeC,0,na,1,postsecondary,2,0,na
286,2,SomeC,0,na,1,postsecondary,2,0,na
287,2,SomeC,0,na,1,postsecondary,2,0,na
288,2,SomeC,0,na,1,postsecondary,2,0,na
289,2,SomeC,0,na,1,postsecondary,2,0,na
290,2,SomeC,0,na,1,postsecondary,2,0,na
291,2,SomeC,0,na,1,postsecondary,2,0,na
292,2,SomeC,0,na,1,postsecondary,2,0,na
293,2,SomeC,0,na,1,postsecondary,2,0,na
294,2,SomeC,0,na,1,postsecondary,2,0,na
295,2,SomeC,0,na,1,postsecondary,2,0,na
296,2,SomeC,0,na,1,postsecondary,2,0,na
297,2,SomeC,0,na,1,postsecondary,2,0,na
298,2,SomeC,0,na,1,postsecondary,2,0,na
299,2,SomeC,0,na,1,postsecondary,2,0,na
300,2,SomeC,0,na,1,postsecondary,2,0,na
301,2,SomeC,0,na,1,postsecondary,2,0,na
302,2,SomeC,0,na,2,software,0,0,na
303,2,SomeC,0,na,2,software,0,0,na
304,2,SomeC,0,na,2,software,0,0,na
305,2,SomeC,0,na,2,software,0,0,na
306,2,SomeC,0,na,2,software,0,0,na
307,2,SomeC,0,na,2,software,0,0,na
308,2,SomeC,0,na,2,software,0,0,na
309,2,SomeC,0,na,2,software,0,0,na
310,2,SomeC,0,na,2,software,0,0,na
311,2,SomeC,0,na,2,software,0,0,na
312,2,SomeC,0,na,2,software,0,0,na
313,2,SomeC,0,na,2,software,0,0,na
314,2,SomeC,0,na,2,software,0,0,na
315,2,SomeC,0,na,2,software,0,0,na
316,2,SomeC,0,na,2,software,0,0,na
317,2,SomeC,0,na,2,software,0,0,na
318,2,SomeC,0,na,2,software,0,0,na
319,2,SomeC,0,na,2,software,0,0,na
320,2,SomeC,0,na,2,software,0,0,na
321,2,SomeC,0,na,2,software,0,0,na
322,2,SomeC,0,na,2,software,0,0,na
323,2,SomeC,0,na,2,software,0,0,na
324,2,SomeC,0,na,2,software,0,0,na
325,2,SomeC,0,na,3,computer,1,0,na
326,2,SomeC,0,na,3,computer,1,0,na
327,2,SomeC,0,na,3,computer,1,0,na
328,2,SomeC,0,na,3,computer,1,0,na
329,2,SomeC,0,na,3,computer,1,0,na
330,2,SomeC,0,na,3,computer,1,0,na
331,2,SomeC,0,na,3,computer,1,0,na
332,2,SomeC,0,na,3,computer,1,0,na
333,2,SomeC,0,na,3,computer,1,0,na
334,2,SomeC,0,na,3,computer,1,0,na
335,1,HS,0,na,3,computer,1,0,na
336,1,HS,0,na,3,computer,1,0,na
337,1,HS,0,na,0,na,0,0,na
338,1,HS,0,na,0,na,0,0,na
339,1,HS,0,na,0,na,0,0,na
340,1,HS,0,na,0,na,0,0,na
341,1,HS,0,na,0,na,0,0,na
342,1,HS,0,na,0,na,0,0,na
343,1,HS,0,na,0,na,0,0,na
344,1,HS,0,na,0,na,0,0,na
345,1,HS,0,na,0,na,0,0,na
346,1,HS,0,na,0,na,0,0,na
347,1,HS,0,na,0,na,0,0,na
348,1,HS,0,na,0,na,0,0,na
349,1,HS,0,na,0,na,0,0,na
350,1,HS,0,na,0,na,0,0,na
351,1,HS,0,na,0,na,0,0,na
352,1,HS,0,na,0,na,0,0,na
353,1,HS,0,na,0,na,0,0,na
354,1,HS,0,na,0,na,0,0,na
355,1,HS,0,na,0,na,0,0,na
356,1,HS,0,na,0,na,0,0,na
357,1,HS,0,na,0,na,0,0,na
358,1,HS,0,na,0,na,0,0,na
359,1,HS,0,na,0,na,0,0,na
360,1,HS,0,na,0,na,0,0,na
361,1,HS,0,na,0,na,0,0,na
362,1,HS,0,na,0,na,0,0,na
363,1,HS,0,na,0,na,0,0,na
364,1,HS,0,na,0,na,0,0,na
365,1,HS,0,na,0,na,0,0,na
366,1,HS,0,na,0,na,0,0,na
367,1,HS,0,na,0,na,0,0,na
368,1,HS,0,na,0,na,0,0,na
369,1,HS,0,na,0,na,0,0,na
370,1,HS,0,na,0,na,0,0,na
371,1,HS,0,na,0,na,0,0,na
372,1,HS,0,na,0,na,0,0,na
373,1,HS,0,na,0,na,0,0,na
374,1,HS,0,na,0,na,0,0,na
375,1,HS,0,na,0,na,0,0,na
376,1,HS,0,na,0,na,0,0,na
377,1,HS,0,na,0,na,0,0,na
378,1,HS,0,na,0,na,0,0,na
379,1,HS,0,na,0,na,0,0,na
380,1,HS,0,na,0,na,0,0,na
381,1,HS,0,na,0,na,0,0,na
382,1,HS,0,na,0,na,0,0,na
383,1,HS,0,na,0,na,0,0,na
384,1,HS,0,na,0,na,0,0,na
385,1,HS,0,na,0,na,0,0,na
386,1,HS,0,na,0,na,0,0,na
387,1,HS,0,na,0,na,0,0,na
388,1,HS,0,na,0,na,0,0,na
389,1,HS,0,na,0,na,0,0,na
390,1,HS,0,na,0,na,0,0,na
391,1,HS,0,na,0,na,0,0,na
392,1,HS,0,na,0,na,0,0,na
393,1,HS,0,na,0,na,0,0,na
394,1,HS,0,na,0,na,0,0,na
395,1,HS,0,na,0,na,0,0,na
396,1,HS,0,na,0,na,0,0,na
397,1,HS,0,na,0,na,0,0,na
398,1,HS,0,na,0,na,0,0,na
399,1,HS,0,na,0,na,0,0,na
400,1,HS,0,na,0,na,0,0,na
401,1,HS,0,na,0,na,0,0,na
402,1,HS,0,na,0,na,0,0,na
403,1,HS,0,na,0,na,0,0,na
404,1,HS,0,na,0,na,0,0,na
405,1,HS,0,na,0,na,0,0,na
406,1,HS,0,na,0,na,0,0,na
407,1,HS,0,na,0,na,0,0,na
408,1,HS,0,na,0,na,0,0,na
409,1,HS,0,na,0,na,0,0,na
410,1,HS,0,na,0,na,0,0,na
411,1,HS,0,na,0,na,0,0,na
412,1,HS,0,na,0,na,0,0,na
413,1,HS,0,na,0,na,0,0,na
414,1,HS,0,na,0,na,0,0,na
415,1,HS,0,na,0,na,0,0,na
416,1,HS,0,na,0,na,0,0,na
417,0,NoHS,0,na,0,na,0,0,na
418,0,NoHS,0,na,0,na,0,0,na
419,0,NoHS,0,na,0,na,0,0,na
420,0,NoHS,0,na,0,na,0,0,na
421,0,NoHS,0,na,0,na,0,0,na
422,0,NoHS,0,na,0,na,0,0,na
423,0,NoHS,0,na,0,na,0,0,na
424,0,NoHS,0,na,0,na,0,0,na
425,0,NoHS,0,na,0,na,0,0,na
426,0,NoHS,0,na,0,na,0,0,na
427,0,NoHS,0,na,0,na,0,0,na
428,0,NoHS,0,na,0,na,0,0,na
429,0,NoHS,0,na,0,na,0,0,na
430,0,NoHS,0,na,0,na,0,0,na
431,0,NoHS,0,na,0,na,0,0,na
432,0,NoHS,0,na,0,na,0,0,na
433,0,NoHS,0,na,0,na,0,0,na
434,0,NoHS,0,na,0,na,0,0,na
435,0,NoHS,0,na,0,na,0,0,na
436,0,NoHS,0,na,0,na,0,0,na
437,0,NoHS,0,na,0,na,0,0,na
438,0,NoHS,0,na,0,na,0,0,na
439,0,NoHS,0,na,0,na,0,0,na
440,0,NoHS,0,na,0,na,0,0,na
441,0,NoHS,0,na,0,na,0,0,na
442,0,NoHS,0,na,0,na,0,0,na
443,0,NoHS,0,na,0,na,0,0,na
444,0,NoHS,0,na,0,na,0,0,na
445,0,NoHS,0,na,0,na,0,0,na
446,0,NoHS,0,na,0,na,0,0,na
447,0,NoHS,0,na,0,na,0,0,na
448,0,NoHS,0,na,0,na,0,0,na
449,0,NoHS,0,na,0,na,0,0,na
450,0,NoHS,0,na,0,na,0,0,na
451,0,NoHS,0,na,0,na,0,0,na
452,0,NoHS,0,na,0,na,0,0,na
453,0,NoHS,0,na,0,na,0,0,na
454,0,NoHS,0,na,0,na,0,0,na
455,0,NoHS,0,na,0,na,0,0,na
456,0,NoHS,0,na,0,na,0,0,na
457,0,NoHS,0,na,0,na,0,0,na
458,0,NoHS,0,na,0,na,0,0,na
459,0,NoHS,0,na,0,na,0,0,na
460,0,NoHS,0,na,0,na,0,0,na
461,0,NoHS,0,na,0,na,0,0,na
462,0,NoHS,0,na,0,na,0,0,na
463,0,NoHS,0,na,0,na,0,0,na
464,0,NoHS,0,na,0,na,0,0,na
465,0,NoHS,0,na,0,na,0,0,na
466,0,NoHS,0,na,0,na,0,0,na
467,0,NoHS,0,na,0,na,0,0,na
468,0,NoHS,0,na,0,na,0,0,na
469,0,NoHS,0,na,0,na,0,0,na
470,0,NoHS,0,na,0,na,0,0,na
471,0,NoHS,0,na,0,na,0,0,na
472,0,NoHS,0,na,0,na,0,0,na
473,0,NoHS,0,na,0,na,0,0,na
474,0,NoHS,0,na,0,na,0,0,na
475,0,NoHS,0,na,0,na,0,0,na
476,0,NoHS,0,na,0,na,0,0,na
477,0,NoHS,0,na,0,na,0,0,na
478,0,NoHS,0,na,0,na,0,0,na
479,0,NoHS,0,na,0,na,0,0,na
480,0,NoHS,0,na,0,na,0,0,na
481,0,NoHS,0,na,0,na,0,0,na
482,0,NoHS,0,na,0,na,0,0,na
483,0,NoHS,0,na,0,na,0,0,na
484,0,NoHS,0,na,0,na,0,0,na
485,0,NoHS,0,na,0,na,0,0,na
486,0,NoHS,0,na,0,na,0,0,na
487,0,NoHS,0,na,0,na,0,0,na
488,0,NoHS,0,na,0,na,0,0,na
489,0,NoHS,0,na,0,na,0,0,na
490,0,NoHS,0,na,0,na,0,0,na
491,0,NoHS,0,na,0,na,0,0,na
492,0,NoHS,0,na,0,na,0,0,na
493,0,NoHS,0,na,0,na,0,0,na
494,0,NoHS,0,na,0,na,0,0,na
495,0,NoHS,0,na,0,na,0,0,na
496,0,NoHS,0,na,0,na,0,0,na
497,0,NoHS,0,na,0,na,0,0,na
498,0,NoHS,0,na,0,na,0,0,na
499,0,NoHS,0,na,0,na,0,0,na
500,0,NoHS,0,na,0,na,0,0,na
501,0,NoHS,0,na,0,na,0,0,na
502,0,NoHS,0,na,0,na,0,0,na
503,0,NoHS,0,na,0,na,0,0,na
504,0,NoHS,0,na,0,na,0,0,na
505,0,NoHS,0,na,0,na,0,0,na
506,0,NoHS,0,na,0,na,0,0,na
507,0,NoHS,0,na,0,na,0,0,na