Origin,Year,Population
Afghanistan,1983,50
Afghanistan,1984,150
Afghanistan,1985,150
Afghanistan,1998,3
Afghanistan,2000,8
Afghanistan,2001,3
Afghanistan,2002,6
Afghanistan,2004,2
Afghanistan,2009,23
Afghanistan,2010,52
Afghanistan,2011,27
Afghanistan,2012,24
Afghanistan,2013,19
Afghanistan,2014,19
Afghanistan,2015,17
Afghanistan,2016,17
Bosnia and Herzegovina,1992,100
Bosnia and Herzegovina,1993,388
Bosnia and Herzegovina,1994,265
Bosnia and Herzegovina,1995,300
Bosnia and Herzegovina,1996,257
Bosnia and Herzegovina,1997,88
Bosnia and Herzegovina,1998,33
Bosnia and Herzegovina,1999,33
Bosnia and Herzegovina,2000,45
Bosnia and Herzegovina,2001,14
Bosnia and Herzegovina,2002,13
Bosnia and Herzegovina,2003,13
Bosnia and Herzegovina,2004,12
Bosnia and Herzegovina,2005,12
Bosnia and Herzegovina,2006,12
Bosnia and Herzegovina,2008,17
Bosnia and Herzegovina,2009,12
Bosnia and Herzegovina,2010,13
Bosnia and Herzegovina,2011,12
Bosnia and Herzegovina,2012,10
Bosnia and Herzegovina,2013,10
Bosnia and Herzegovina,2014,10
Bosnia and Herzegovina,2015,9
Egypt,1995,5
Egypt,1996,1
Egypt,2000,85
Egypt,2001,115
Egypt,2004,44
Egypt,2006,31
Egypt,2007,34
Egypt,2008,84
Egypt,2009,101
Egypt,2010,96
Egypt,2011,219
Egypt,2012,137
Egypt,2013,147
Egypt,2014,273
Egypt,2015,270
Egypt,2016,368
Ethiopia,1978,80
Ethiopia,1979,120
Ethiopia,1980,60
Ethiopia,1981,80
Ethiopia,1982,100
Ethiopia,1983,100
Ethiopia,1984,250
Ethiopia,1985,250
Ethiopia,1989,130
Ethiopia,1990,130
Ethiopia,1991,80
Ethiopia,1998,1
Ethiopia,1999,2
Ethiopia,2000,15
Ethiopia,2001,6
Ethiopia,2002,8
Ethiopia,2003,9
Ethiopia,2004,12
Ethiopia,2005,6
Ethiopia,2006,4
Ethiopia,2007,2
Ethiopia,2012,1
Ethiopia,2014,5
Ethiopia,2015,19
Ethiopia,2016,40
Iraq,1990,15
Iraq,1991,310
Iraq,1992,160
Iraq,1993,62
Iraq,1994,269
Iraq,1995,415
Iraq,1996,695
Iraq,1997,533
Iraq,1998,676
Iraq,1999,887
Iraq,2000,8128
Iraq,2001,5513
Iraq,2002,4576
Iraq,2003,7496
Iraq,2004,13216
Iraq,2005,17283
Iraq,2006,519123
Iraq,2007,500000
Iraq,2008,501370
Iraq,2009,452470
Iraq,2010,451466
Iraq,2011,456040
Iraq,2012,67441
Iraq,2013,59654
Iraq,2014,45325
Iraq,2015,53019
Iraq,2016,60904
Lebanon,2000,16
Lebanon,2005,7
Lebanon,2006,14
Lebanon,2014,75
Lebanon,2015,77
Lebanon,2016,101
Libya,1996,2
Libya,1997,2
Libya,1998,4
Libya,1999,4
Libya,2000,10
Libya,2001,2
Libya,2003,1
Libya,2011,33
Libya,2012,4
Libya,2013,9
Libya,2014,90
Libya,2015,157
Libya,2016,181
Other,1990,495
Other,1991,140
Other,1992,10
Other,1993,18
Other,1994,27
Other,1995,33
Other,1996,37
Other,1997,8
Other,1998,2
Other,1999,7
Other,2000,68
Other,2001,151
Other,2002,104
Other,2003,60
Other,2004,139
Other,2005,153
Other,2006,136
Other,2007,142
Other,2008,159
Other,2009,166
Other,2010,154
Other,2011,155
Other,2012,149
Other,2013,239
Other,2014,430
Other,2015,549
Other,2016,603
Russian Federation,1996,93
Russian Federation,1997,65
Russian Federation,1998,66
Russian Federation,1999,31
Russian Federation,2000,145
Russian Federation,2001,96
Russian Federation,2002,94
Russian Federation,2003,89
Russian Federation,2004,94
Russian Federation,2005,102
Russian Federation,2006,121
Russian Federation,2007,139
Russian Federation,2008,113
Russian Federation,2009,96
Russian Federation,2010,47
Russian Federation,2011,31
Russian Federation,2012,27
Russian Federation,2013,27
Russian Federation,2014,23
Russian Federation,2015,36
Russian Federation,2016,45
Somalia,1991,430
Somalia,1994,13
Somalia,1995,9
Somalia,1996,9
Somalia,1997,25
Somalia,1998,14
Somalia,1999,31
Somalia,2000,60
Somalia,2001,45
Somalia,2002,28
Somalia,2003,81
Somalia,2004,66
Somalia,2005,40
Somalia,2006,55
Somalia,2007,128
Somalia,2008,349
Somalia,2009,294
Somalia,2010,298
Somalia,2011,322
Somalia,2012,462
Somalia,2013,726
Somalia,2014,795
Somalia,2015,763
Somalia,2016,773
Sudan,1996,16
Sudan,1997,12
Sudan,1998,12
Sudan,1999,29
Sudan,2000,278
Sudan,2001,257
Sudan,2002,81
Sudan,2003,75
Sudan,2004,101
Sudan,2005,120
Sudan,2006,60
Sudan,2007,111
Sudan,2008,201
Sudan,2009,358
Sudan,2010,543
Sudan,2011,771
Sudan,2012,815
Sudan,2013,1786
Sudan,2014,3216
Sudan,2015,2967
Sudan,2016,3260
Syrian Arab Rep.,1994,2
Syrian Arab Rep.,1998,10
Syrian Arab Rep.,1999,1
Syrian Arab Rep.,2000,112
Syrian Arab Rep.,2001,162
Syrian Arab Rep.,2002,71
Syrian Arab Rep.,2003,96
Syrian Arab Rep.,2004,114
Syrian Arab Rep.,2005,105
Syrian Arab Rep.,2006,99
Syrian Arab Rep.,2007,101
Syrian Arab Rep.,2008,168
Syrian Arab Rep.,2009,282
Syrian Arab Rep.,2010,485
Syrian Arab Rep.,2011,2811
Syrian Arab Rep.,2012,239289
Syrian Arab Rep.,2013,585304
Syrian Arab Rep.,2014,623112
Syrian Arab Rep.,2015,628223
Syrian Arab Rep.,2016,648836
Tunisia,2016,32
Ukraine,2016,29
Yemen,1998,1
Yemen,1999,1
Yemen,2000,17
Yemen,2001,12
Yemen,2002,10
Yemen,2003,6
Yemen,2004,2
Yemen,2005,5
Yemen,2006,6
Yemen,2008,6
Yemen,2009,28
Yemen,2010,27
Yemen,2011,138
Yemen,2012,108
Yemen,2013,101
Yemen,2014,308
Yemen,2015,3232
Yemen,2016,5704