,Class,newClusters,colorStyle,Sentence, num,After,Berfore,During,Intro,Outside Analysis,Personal,Type of Care,Before,xs,ys
0,Intro,0,clusterZero, 'The complaint focused on the ineffectiveness of (free) health services citing problems such as poor diagnosis lack of <span>treatment</span> and failure to <span>cover</span> the <span>costs</span> of treating certain health conditions.',100,0,0,0,0.3,0,0,0,0,-0.03953726602688570,-0.11900477549141000
1,Intro,0,clusterZero, 'The <span>treatment</span> journey is a tiring one. Most people do not follow up or return for <span>treatment</span> because of the bad first experience.',100,0,0,0,0.3,0,0,0,0,-0.09709340848122590,-0.5761409355518230
25,Berfore,0,clusterZero, 'They visit a doctor to obtain <span>treatment</span> and diagnosis.',100,0,1,0,0,0,0,0,0.3,-0.4734522813813140,-0.2859884385661960
32,Berfore,0,clusterZero, 'Conducting all tests or follow-up medical <span>treatment</span> necessary even if he had to incur the full <span>costs</span> of the <span>treatment</span> and diagnosis and was unable to find an entity to provide free <span>treatment</span> or financial support <span>cover</span>ing the <span>costs</span> of <span>treatment</span>.',100,0,1,0,0,0,0,0,0.3,-0.3055427012236970,-0.48651948871865000
35,Berfore,0,clusterZero, 'However he does not mind incurring the <span>costs</span> and burden of moving to another governorate for medical <span>treatment</span> if it is free and if the service is excellent.',100,0,1,0,0,0,0,0,0.3,-0.15487087821570000,-0.42125331268538000
43,Berfore,0,clusterZero, 'They prefer going to a private doctor and bearing the <span>costs</span> of <span>treatment</span> thus saving time effort and travel <span>costs</span>.',100,0,1,0,0,0,0,0,0.3,-0.4262753569535360,-0.41336634056503000
90,During,0,clusterZero, 'He asked me to undergo tomography but I cannot <span>cover</span> the <span>cost</span> of that.',100,0,0,0.3,0,0,0,0,0,-0.49249302245854500,-0.5692251517971450
109,During,0,clusterZero,'They pointed out that they have already paid a minimum of 4 JDs for the doctor at this point so they deserve to be examined and given <span>treatment</span>.',100,0,0,0.3,0,0,0,0,0,-0.4034249000035200,-0.33279382432193600
121,During,0,clusterZero,Ineffectiveness / Discontent / Difficulty / Fatigue / High <span>cost</span> / Poor Regulation / Lack of Credibility.,,0,0,0.3,0,0,0,0,0,-0.5495256360217830,-0.5363023333795340
147,After,0,clusterZero, 'Some of them did not complete their <span>treatment</span> because of their inability to <span>cover</span> the <span>costs</span> of <span>treatment</span>.',100,0.3,0,0,0,0,0,0,0,-0.3569377458454070,-0.5169160085504070
160,After,0,clusterZero,Follow-up <span>treatment</span> with the patient during the sickness. The <span>cost</span> for the follow-up was low.,,0.3,0,0,0,0,0,0,0,-0.4258342359583930,-0.516584989449689
177,Outside Analysis,0,clusterZero, 'If only there is a <span>treatment</span> center for burns and cosmetic <span>treatment</span>.',100,0,0,0,0,0.3,0,0,0,-0.19396650538661100,-0.579190934056595
178,Outside Analysis,0,clusterZero, 'If only there is <span>treatment</span> and <span>cover</span>age for the <span>cost</span> of delivery and childbirth.',100,0,0,0,0,0.3,0,0,0,-0.4308921747691380,-0.5589894973983680
180,Outside Analysis,0,clusterZero, 'I wish there was full <span>cover</span>age of the <span>costs</span> of medications and at least partial <span>cover</span>age of the <span>costs</span> of operations.',100,0,0,0,0,0.3,0,0,0,-0.16870554859789000,-0.6505185844587090
197,Outside Analysis,0,clusterZero, 'Indeed she went to Rahma Hospital and had to <span>cover</span> the <span>cost</span> of transportation.',100,0,0,0,0,0.3,0,0,0,-0.6099546845731980,-0.04374487510739420
205,Outside Analysis,0,clusterZero, 'She endured a lot but still looks for someone to help her <span>cover</span> the <span>cost</span> of <span>treatment</span> for her and her children.',100,0,0,0,0,0.3,0,0,0,-0.323152198400737,-0.5429614566681320
221,Outside Analysis,0,clusterZero, 'They also confirmed that the only thing they want is medical <span>treatment</span> and medicine that is accessible to everyone.',100,0,0,0,0,0.3,0,0,0,-0.10009572294005500,-0.6703069755125900
232,Personal,0,clusterZero, 'They cannot find <span>treatment</span> and there is no one who can <span>cover</span> the expenses of their <span>treatment</span>.',100,0,0,0,0,0,0.3,0,0,-0.31967015551327400,-0.5861969187762280
233,Personal,0,clusterZero, 'No organization can afford to fully <span>cover</span> the <span>cost</span> of their <span>treatment</span>.',100,0,0,0,0,0,0.3,0,0,-0.37515724822178100,-0.5478504907105610
235,Personal,0,clusterZero, 'Some go to organizations believing that they will find <span>treatment</span> but they find nothing and have to endure the <span>cost</span> of transportation.',100,0,0,0,0,0,0.3,0,0,-0.4541463876057250,-0.44514213646533400
248,Personal,0,clusterZero, 'Others wish IRC would open a department to provide healthcare services respond to all their health needs and <span>cover</span> the expenses and the <span>cost</span> of <span>treatment</span> and emergency operations for them and their children.',100,0,0,0,0,0,0.3,0,0,-0.061813241922164000,-0.3403054714563260
26,Berfore,1,clusterOne, 'Mobility is a burden with more than one <span>child</span>.',100,0,1,0,0,0,0,0,0.3,0.08172152786472890,0.7630339827534040
76,Berfore,1,clusterOne,We also had an emergency - my <span>child</span>'s tongue was cut due to an accident.,,0,1,0,0,0,0,0,0.3,0.08172152786473130,0.7630339827534050
103,During,1,clusterOne, 'I hope all organizations <span>treat</span> people that way I am <span>treat</span>ed.',100,0,0,0.3,0,0,0,0,0,0.3216910587537930,0.4542295096483950
123,During,1,clusterOne,I also <span>went</span> to a government <span>hospital</span> / paid 50% of the original price - the reason I did not go to organizations is because they do not have an ER.,,0,0,0.3,0,0,0,0,0,-0.5094418391129750,0.17697038040931300
124,During,1,clusterOne,We <span>went</span> to a government <span>hospital</span> and paid 50% of the original price and <span>treat</span>ment was provided quickly as I was admitted to the ER.,,0,0,0.3,0,0,0,0,0,-0.5396179920087630,0.07570974545536620
125,During,1,clusterOne,We <span>went</span> to the Emirati center - I did not have the documents and my <span>treat</span>ment was delayed 20 days.,,0,0,0.3,0,0,0,0,0,-0.5353587487483490,-0.17094987767866800
127,During,1,clusterOne,We <span>went</span> to the Emirates <span>Hospital</span> and received medications very quickly.,,0,0,0.3,0,0,0,0,0,-0.46037234650190400,0.1391574968155310
130,During,1,clusterOne,We <span>went</span> to the Emirates <span>Hospital</span> where we were <span>treat</span>ed 20 days later - we felt happy and cooperative.,,0,0,0.3,0,0,0,0,0,-0.5129787054763340,0.3562762123689720
155,After,1,clusterOne,Things <span>went</span> good and <span>treat</span>ment was followed up.,,0.3,0,0,0,0,0,0,0,-0.6090115989658880,-0.23115977942386300
175,Outside Analysis,1,clusterOne, 'She encountered a problem and he <span>treat</span>ed her humanely neglecting the routine procedures and <span>treating</span> her daughter.',100,0,0,0,0,0.3,0,0,0,0.23702025108674300,0.6814688522060510
184,Outside Analysis,1,clusterOne, 'She did not provide me with the full stages that she <span>went</span> through during the <span>treat</span>ment.',100,0,0,0,0,0.3,0,0,0,-0.4086388785792550,-0.6007315272737330
194,Outside Analysis,1,clusterOne, 'They <span>went</span> to the government <span>hospital</span> in Zatari camp but the doctor refused to <span>treat</span> the <span>child</span> and told her that he has no UNHCR ID card or any identification papers to prove his nationality.',100,0,0,0,0,0.3,0,0,0,-0.2754924874689290,0.4360968263438360
195,Outside Analysis,1,clusterOne, 'The <span>child</span>'s condition was very deplorable and critical but the doctor ignored her pleas.',100,0,0,0,0,0.3,0,0,0,-0.04711767752125890,0.5879880595869620
198,Outside Analysis,1,clusterOne, 'She thought the new <span>hospital</span> would <span>treat</span> her just like the one in the camp.',100,0,0,0,0,0.3,0,0,0,-0.4812432697008390,0.43367973056049400
199,Outside Analysis,1,clusterOne,'So she decided to admit the <span>child</span> under the name of her 3-year-old daughter despite the risks associated with admitting him as a younger female.',100,0,0,0,0,0.3,0,0,0,0.08172152786472890,0.7630339827534040
201,Outside Analysis,1,clusterOne,'After the <span>child</span> was <span>treat</span>ed she was presented with a 130 JDs bill which she could not afford.',100,0,0,0,0,0.3,0,0,0,0.1179297639009310,0.7126003244254900
203,Outside Analysis,1,clusterOne, 'It was very difficult for this woman and her <span>child</span> who was held hostage for three days until the <span>hospital</span> account was paid.',100,0,0,0,0,0.3,0,0,0,-0.37767104770548300,0.549297594732612
204,Outside Analysis,1,clusterOne, 'The <span>hospital</span> <span>treat</span>ed her and her <span>child</span> as an account not urgent human cases.',100,0,0,0,0,0.3,0,0,0,-0.3080311529011530,0.532806719706838
238,Personal,1,clusterOne, 'On the contrary they feel humiliated and <span>treat</span>ed as papers and IDs.',100,0,0,0,0,0,0.3,0,0,0.20588734675252600,0.6870361876951020
245,Personal,1,clusterOne, 'Others said that IRC appoints people who do not do their jobs well and <span>treat</span> people badly.',100,0,0,0,0,0,0.3,0,0,0.3312656460666980,-0.6798097277936310
2,Intro,2,clusterTwo, 'Poor economic situation is the biggest challenge faced by families and a major obstacle to receiving excellent service in the <span>private</span> sector.',100,0,0,0,0.3,0,0,0,0,-0.2563761567852140,-0.0868766120436559
14,Type of Care,2,clusterTwo, 'The type of care received focused on medical care from: <span>private</span> <span>clinics</span> Emirates Hospital a university health center.',100,0,0,0,0,0,0,0.3,0,0.1495720179000550,-0.23735555636668100
36,Berfore,2,clusterTwo, 'However if the service is not free or requires a small fee he prefers to go to a <span>private</span> <span>clinic</span> in the same area and save effort and the cost of transportation.',100,0,1,0,0,0,0,0,0.3,-0.341054062173574,-0.23178634194946000
52,Berfore,2,clusterTwo, 'If we have difficulty dealing with the health situation we have to go to <span>private</span> and <span>expensive</span> <span>clinics</span>.',100,0,1,0,0,0,0,0,0.3,0.30155720844027900,-0.5351964488957520
56,Berfore,2,clusterTwo, 'When they decided to go to government centers or <span>private</span> <span>clinics</span> some of the women were showing symptoms like headache dizziness general weakness and other symptoms of multiple communicable and non-communicable diseases.',100,0,1,0,0,0,0,0,0.3,0.3112892399450690,-0.5907775536753030
60,Berfore,2,clusterTwo, 'Some discovered that the location of these <span>services</span> is far away from their homes and had to go by a <span>private</span> car at their own <span>expense</span> and pay a lot for transportation.',100,0,1,0,0,0,0,0,0.3,-0.4287983544213930,-0.029320475768614500
64,Berfore,2,clusterTwo, 'They said that they seek treatment at a <span>private</span> <span>clinic</span> where they can run all necessary tests.',100,0,1,0,0,0,0,0,0.3,-0.3187022456935230,-0.6564299636800670
79,During,2,clusterTwo, 'While comparing <span>services</span> in the <span>private</span> and the public sector it was clear that the <span>services</span> of the <span>private</span> sector are the best.',100,0,0,0.3,0,0,0,0,0,-0.33756355769498200,-0.07326269870163500
107,During,2,clusterTwo, 'He then asks them to go to the hospital and transfers them to the <span>private</span> <span>clinics</span>.',100,0,0,0.3,0,0,0,0,0,-0.5761824119284060,0.1822341232498200
129,During,2,clusterTwo,After that we went to a <span>private</span> doctor and he said I needed to undergo surgery as soon as possible.,,0,0,0.3,0,0,0,0,0,-0.5827659648790460,-0.0871561634349166
131,During,2,clusterTwo,Difficulty getting access to free treatment - having to go to a <span>private</span> doctor and cover the <span>expenses</span>.,,0,0,0.3,0,0,0,0,0,-0.2803267337947400,-0.337237146912009
212,Outside Analysis,2,clusterTwo, 'They responded by stating that after a great deal of pain disease and developing symptoms they finally decided to seek treatment at <span>private</span> centers or <span>clinics</span>.',100,0,0,0,0,0.3,0,0,0,-0.07678493073306950,-0.471021217941615
253,Personal,2,clusterTwo, 'They only go to the doctor when their health severely deteriorates and even then they prefer to go to a <span>private</span> doctor and pay for the service although it constitutes a burden.',100,0,0,0,0,0,0.3,0,0,-0.02533337822022850,0.17047477602742400
5,Intro,3,clusterThree, 'Poor financial conditions are a major obstacle to <span>receiving</span> better service and securing <span>treatment</span>.',100,0,0,0,0.3,0,0,0,0,-0.21169215529501000,-0.1370602415682690
30,Berfore,3,clusterThree, 'Not <span>receiving</span> <span>treatment</span> without a doctor diagnosis.',100,0,1,0,0,0,0,0,0.3,-0.42306057242249700,-0.2539545613412350
34,Berfore,3,clusterThree, 'Most of the places of medical service providers are confined to Irbid his city of residence. ',100,0,1,0,0,0,0,0,0.3,0.18419650570400500,-0.5037048164692060
37,Berfore,3,clusterThree, 'As for his experience in <span>receiving</span> <span>treatment</span> his evaluation of the experience varies depending on where he <span>received</span> the <span>treatment</span>.',100,0,1,0,0,0,0,0,0.3,-0.19486934401493200,-0.50308072211254
41,Berfore,3,clusterThree, 'Depending on people networks for <span>information</span>.',100,0,1,0,0,0,0,0,0.3,0.5622749997819320,-0.5522997130332210
42,Berfore,3,clusterThree, 'They are totally unable to go to another governorate to receive <span>treatment</span> even if the service was free of charge because they have children who cannot be left at home or be taken on a <span>treatment</span> trip that might last a full day.',100,0,1,0,0,0,0,0,0.3,-0.09929659056876870,-0.2871680021486770
55,Berfore,3,clusterThree, 'I also hear about the bad <span>treatment</span> some people receive.',100,0,1,0,0,0,0,0,0.3,-0.04521913949352460,-0.6142479793384200
71,Berfore,3,clusterThree, 'All participants confirmed that they receive healthcare <span>information</span> by attending health awareness and education sessions and that they do not trust online <span>information</span> except in rare cases when <span>information</span> is confirmed by a friend or family member.',100,0,1,0,0,0,0,0,0.3,0.6161101661303200,-0.43549751556923500
83,During,3,clusterThree, 'They depend on the <span>information</span> provided by others to help them. They also go to any place they hear about to get the service and make sure it is actually existent.',100,0,0,0.3,0,0,0,0,0,0.5280632417928970,-0.4262866008951750
113,During,3,clusterThree, 'They wish they could find a place with adequate health <span>services</span> since they pay a lot only to receive <span>treatment</span>.',100,0,0,0.3,0,0,0,0,0,0.019690787314646700,-0.09150174866635000
146,After,3,clusterThree, 'It was clear that they have go through a lot of trouble to receive health care and they are suffering because of their health psychological and financial status.',100,0.3,0,0,0,0,0,0,0,0.47608830187634600,0.1063527139904450
148,After,3,clusterThree, 'Some had to sell their furniture to fund the <span>treatment</span> some borrowed money and some of them admit the patient under false <span>information</span> in order to save his/her life.',100,0.3,0,0,0,0,0,0,0,-0.19952827167142400,-0.7213362517428730
174,Outside Analysis,3,clusterThree, 'One woman spoke of a humanitarian service she <span>received</span> from a Chief Practitioner.',100,0,0,0,0,0.3,0,0,0,-0.14869579006569000,-0.061969549193259600
176,Outside Analysis,3,clusterThree, 'She summed it up by saying that the service depends on the doctor.',100,0,0,0,0,0.3,0,0,0,-0.06860714375754800,0.1953460618509420
181,Outside Analysis,3,clusterThree, 'I wish there was Health care can be provided to children and for emergency conditions.',100,0,0,0,0,0.3,0,0,0,0.5328091000360270,-0.017391706204573600
191,Outside Analysis,3,clusterThree, 'So it is a very difficult experience starting with finding the right place for <span>treatment</span> securing the money in a hurry to dealing with the problem of no doctors in a certain shift.',100,0,0,0,0,0.3,0,0,0,-0.18585696041081400,0.1777396804022960
209,Outside Analysis,3,clusterThree, 'I thanked her for providing me with <span>information</span> and she thanked me for listening to her before entrusting me to deliver her voice and story to the officials and those who can create change.',100,0,0,0,0,0.3,0,0,0,0.6161676605167880,-0.4581159027156990
216,Outside Analysis,3,clusterThree, 'All of the women agreed that the <span>services</span> they <span>received</span> did not meet all their needs and that they had to pay large amounts of money in exchange of these <span>services</span>.',100,0,0,0,0,0.3,0,0,0,-0.2695210975348850,0.010288302456921300
222,Outside Analysis,3,clusterThree, 'I thanked them for all the <span>information</span> they provided and when I asked questions about NGOs and IRC they thanked me for caring and listening to them.',100,0,0,0,0,0.3,0,0,0,0.6365027534829460,-0.3624300440166500
224,Outside Analysis,3,clusterThree, 'Finally I concluded the meeting by thanking them and wishing them all the best.',100,0,0,0,0,0.3,0,0,0,0.7940154318271310,-0.012363625787539000
226,Personal,3,clusterThree, 'They want to <span>receive</span> the best care and they possess some knowledge and <span>information</span> that are useful when dealing with emergency cases.',100,0,0,0,0,0,0.3,0,0,0.5265021330816110,-0.5048752100971870
234,Personal,3,clusterThree, 'All of the interviewees are forced to pay a lot of money to <span>receive</span> health care <span>services</span>.',100,0,0,0,0,0,0.3,0,0,0.17398442746175300,-0.02690725753318960
247,Personal,3,clusterThree, 'They wish IRC would take care of this problem because it distorts IRC’s image.',100,0,0,0,0,0,0.3,0,0,0.6144590450678260,0.22556429921084900
4,Intro,4,clusterFour, 'Focus on the weakness of <span>free</span> <span>health</span> <span>services</span> and inaccurate diagnosis.',100,0,0,0,0.3,0,0,0,0,0.15973891732119800,0.07357693648259600
12,Type of Care,4,clusterFour, 'Emphasis was placed on care provided by UNHCR <span>centers</span> or <span>free</span> <span>centers</span> due to the presence of large number of children.',100,0,0,0,0,0,0,0.3,0,0.46552207944856800,-0.3006059920095730
27,Berfore,4,clusterFour, 'The presence of a number of children makes them always vulnerable to emergencies so there is always a visit to <span>health</span> care <span>centers</span>.',100,0,1,0,0,0,0,0,0.3,0.5328658504991830,-0.1376715988486500
28,Berfore,4,clusterFour, 'They depend on asking relatives and friends and the experience of others in knowing <span>centers</span> and <span>services</span>.',100,0,1,0,0,0,0,0,0.3,0.5743353816807300,-0.27779696163405000
33,Berfore,4,clusterFour, 'His battle with chronic diseases:  He is interested in <span>centers</span> that provide periodic care and follow-up and is keen to get periodic treatment monthly.',100,0,1,0,0,0,0,0,0.3,0.231191906058127,-0.4673548124834120
38,Berfore,4,clusterFour, 'The table below - (Classification of beneficiaries of <span>health</span> resources) contains his evaluation of every <span>service</span> based on location.',100,0,1,0,0,0,0,0,0.3,0.43978099921428800,0.012455741299231200
58,Berfore,4,clusterFour, 'However when they arrived they began asking about the location of <span>centers</span> offering medical and <span>health</span> <span>services</span>.',100,0,1,0,0,0,0,0,0.3,0.3549990993921100,-0.2020184393948020
61,Berfore,4,clusterFour, 'Some had <span>centers</span> close to their homes but preferred to go with someone to guide them to the location.',100,0,1,0,0,0,0,0,0.3,0.6589385315393080,-0.2512989814658100
70,Berfore,4,clusterFour, 'They stressed that doctors show no interest in the patient's <span>health</span> condition unless the <span>service</span> <span>center</span> is not <span>free</span>.',100,0,1,0,0,0,0,0,0.3,0.11018752496953800,0.0455547561482923
73,Berfore,4,clusterFour, 'The participants stressed that there is no <span>free</span> <span>health</span> <span>service</span> <span>center</span> makes them feel safe.',100,0,1,0,0,0,0,0,0.3,0.35150779576553500,-0.004242168283087730
80,During,4,clusterFour, 'One woman cited a popular proverb which translates to “If it’s <span>free</span> it’s worthless!”',100,0,0,0.3,0,0,0,0,0,0.3906263277816060,0.330521398904578
84,During,4,clusterFour, 'Experience and evaluation of <span>health</span> care delivery locations vary depending on the location. Details will be listed in the table below to avoid repetition.',100,0,0,0.3,0,0,0,0,0,0.6471817015841000,-0.0769252606199009
99,During,4,clusterFour, 'If there is an organization that helps us by providing <span>health</span> care <span>services</span> we ask ourselves: Will there be a queue? Is there a full insurance? Will my journey to the location be a waste of time? Will I be treated badly?',100,0,0,0.3,0,0,0,0,0,0.46254497708389900,-0.09328878657873070
104,During,4,clusterFour, 'After arriving at the <span>center</span> they enter and endure bad reception.',100,0,0,0.3,0,0,0,0,0,0.40038069818582800,-0.6323504894502980
116,During,4,clusterFour, 'One participant reported that she had to take her sick child to a <span>center</span> that provides <span>free</span> <span>services</span>.',100,0,0,0.3,0,0,0,0,0,0.2983623966211680,0.1662558687260390
134,After,4,clusterFour, 'The lack of medications at <span>health</span> care <span>centers</span> forces the users sometimes to personally cover the expenses.',100,0.3,0,0,0,0,0,0,0,0.3146836734016110,-0.3607073334815510
144,After,4,clusterFour, 'Some people have experienced the feeling of comfort and justice while others discovered that going to an organization or <span>center</span> that provide <span>free</span> care is a bad idea so they decided to resort to <span>centers</span> or clinics and defray the <span>services</span> themselves.',100,0.3,0,0,0,0,0,0,0,0.39086832598290200,-0.33969190068608900
149,After,4,clusterFour, 'I cannot describe how frustration they are at government <span>centers</span> and the places where the <span>health</span> <span>services</span> are located because they have suffered a lot and they don’t trust them anymore.',100,0.3,0,0,0,0,0,0,0,0.3951673553775330,0.10297330253960800
150,After,4,clusterFour, 'One of the participants shared a story: She went to a <span>health</span> <span>center</span> that provides <span>free</span> medical <span>services</span> where she was examined but did not get the medication.',100,0.3,0,0,0,0,0,0,0,0.1790001153207840,-0.29227710503668600
173,Outside Analysis,4,clusterFour, 'It may take months to get an appointment at some <span>centers</span>.',100,0,0,0,0,0.3,0,0,0,0.5597641500803390,-0.36432823709730500
217,Outside Analysis,4,clusterFour, 'It was clear that they were fatigued showing clear signs of frustration due to their poor <span>health</span>.',100,0,0,0,0,0.3,0,0,0,0.5420365364742120,0.07428053430743770
225,Personal,4,clusterFour, 'They show clear interest in the <span>health</span> of their children.',100,0,0,0,0,0,0.3,0,0,0.5981976598835290,0.07161533286806930
237,Personal,4,clusterFour, 'They all regret going to organizations and government <span>centers</span> because they do not receive <span>services</span> there.',100,0,0,0,0,0,0.3,0,0,0.2738945035444570,-0.17179560174704100
250,Personal,4,clusterFour, 'After the session I noticed that most people have a very negative impression formed around the treatment provided at the <span>free</span> <span>health</span> service <span>centers</span>.',100,0,0,0,0,0,0.3,0,0,0.12823320907132100,-0.16975015119498700
254,Personal,4,clusterFour, 'They simply do this because they are convinced of the inefficiency of <span>free</span> service <span>centers</span>.',100,0,0,0,0,0,0.3,0,0,0.28281813428649300,-0.1236863351054220
7,Intro,5,clusterFive, 'We receive the services from the <span>Emirati</span> <span>hospital</span> and other places.',100,0,0,0,0.3,0,0,0,0,-0.4112857786034910,0.24208778220919600
9,Intro,5,clusterFive, 'The group agreed that the <span>Emirati</span> <span>Hospital</span> provides good service.',100,0,0,0,0.3,0,0,0,0,-0.46554628020067200,0.2769331458596730
44,Berfore,5,clusterFive, 'Feeling of <span>pain</span> in the lower back. Increasing <span>pain</span> drove her to go to the <span>Emirati</span> <span>Hospital</span> She inquired and through friends and acquaintances was able to A psychological condition that led to.',100,0,1,0,0,0,0,0,0.3,-0.4665405055074010,0.4992402883818090
46,Berfore,5,clusterFive,'After the <span>pain</span> persisted for 3 months she decided to visit the <span>Emirati</span> <span>Hospital</span>.',100,0,1,0,0,0,0,0,0.3,-0.5128143652964850,0.47238041644205300
48,Berfore,5,clusterFive, 'They did an ECHO scan at the <span>Emirati</span> <span>Hospital</span>.',100,0,1,0,0,0,0,0,0.3,-0.6206348045172930,0.33499152584894000
49,Berfore,5,clusterFive, 'He took some <span>pain</span>killers but after the <span>pain</span> increased they were instructed to <span>hospitalize</span>ize him through Jordan Health Aid Society but since they live outside the camp they were not covered.',100,0,1,0,0,0,0,0,0.3,-0.31797133458049500,0.2969882804366710
