,Class,newClusters,colorStyle,Sentence, num,After,Berfore,During,Intro,Outside Analysis,Personal,Type of Care,Before,xs,ys
50,Berfore,5,clusterFive, 'So they were transferred to Mafraq Governmental <span>Hospital</span> which in turn transferred them to Zarqa.',100,0,1,0,0,0,0,0,0.3,-0.5892480916553620,0.4201259124097030
91,During,5,clusterFive, 'Waiting in line at the <span>Emirati</span> <span>Hospital</span> after waking up very early.',100,0,0,0.3,0,0,0,0,0,-0.4419976369563990,0.49511198703385300
92,During,5,clusterFive, 'She was transferred to the governmental then to Zarqa Governmental <span>Hospital</span>.',100,0,0,0.3,0,0,0,0,0,-0.5892480916553620,0.4201259124097030
93,During,5,clusterFive, 'She was admitted to the <span>hospital</span> after <span>long</span> procedures and paperwork then she underwent an appendectomy.',100,0,0,0.3,0,0,0,0,0,-0.5381504478324210,0.5176330029092750
94,During,5,clusterFive, 'Zarqa <span>hospital</span> admitted them after paying a small sum.',100,0,0,0.3,0,0,0,0,0,-0.6143036412956650,0.39847902170744600
133,After,5,clusterFive, 'The length of the procedures in government <span>hospital</span>s was also discussed in addition to fatigue and the burden of transportation.',100,0.3,0,0,0,0,0,0,0,-0.6213662859284380,0.24825786153484600
196,Outside Analysis,5,clusterFive, 'Instead he told her to go to Rahma Hospital.',100,0,0,0,0,0.3,0,0,0,-0.5892480916553620,0.4201259124097030
202,Outside Analysis,5,clusterFive,'They spent about 8 consecutive days in the hospital.',100,0,0,0,0,0.3,0,0,0,-0.5892480916553610,0.42012591240970300
11,Intro,6,clusterSix, 'They felt comfortable after talking about their <span>suffer</span>ing and talking to people who would listen.',100,0,0,0,0.3,0,0,0,0,0.5299757840382230,0.46454634472213400
47,Berfore,6,clusterSix, 'The brother <span>suffer</span>ed from <span>severe</span> <span>pain</span> in his stomach abdomen and digestive system.',100,0,1,0,0,0,0,0,0.3,0.4612831256205070,0.5688262052070610
98,During,6,clusterSix,'The <span>suffer</span>ing and <span>pain</span> lasted for 2 months before they discovered that he is <span>suffer</span>ing from renal failure and requires dialysis.',100,0,0,0.3,0,0,0,0,0,0.4786117117821610,0.565420036357859
101,During,6,clusterSix, 'We as refugees <span>suffer</span> from the effects of nepotism and favoritism.',100,0,0,0.3,0,0,0,0,0,0.5155007964376850,0.5599329934263490
110,During,6,clusterSix, 'They have had <span>suffer</span>ed a lot because of the lack of care displayed at these centers.',100,0,0,0.3,0,0,0,0,0,0.6046976879722190,0.007804911466387600
193,Outside Analysis,6,clusterSix,'Her grandson who is 1.5 years old and Syrian <span>suffer</span>s from a <span>severe</span> and chronic asthma.',100,0,0,0,0,0.3,0,0,0,0.5480315743562930,0.5330289501439810
207,Outside Analysis,6,clusterSix, 'Also she <span>suffer</span>s from blood clots under the skin and body in addition to diabetes and hypertension.',100,0,0,0,0,0.3,0,0,0,0.515500796437684,0.5599329934263500
214,Outside Analysis,6,clusterSix, 'After they went to receive treatment and were examined some were <span>suffer</span>ing from <span>severe</span> calcareous shortage others had hormonal vaginal infections (which tests were <span>very</span> costly) slip disks back and joint <span>pain</span> etc.',100,0,0,0,0,0.3,0,0,0,-0.2694526983514680,0.09754113880353350
215,Outside Analysis,6,clusterSix, 'One woman in particular was <span>suffer</span>ing from bleeding due to pregnancy and her situation was <span>very</span> serious.',100,0,0,0,0,0.3,0,0,0,0.408505371092756,0.5641879927748560
220,Outside Analysis,6,clusterSix, 'All of the participants wish to deliver their voices to the officials who can help alleviate their <span>suffer</span>ing.',100,0,0,0,0,0.3,0,0,0,0.6061269498384330,0.35991677090585600
241,Personal,6,clusterSix, 'The only thing they can do is pray to God to relieve their <span>suffer</span>ing.',100,0,0,0,0,0,0.3,0,0,0.49414226534139900,0.5090109468511810
249,Personal,6,clusterSix, 'I Hanan Abdel Rahim Al-Zu'bi wish the same because I am one of them and I <span>suffer</span> like them.',100,0,0,0,0,0,0.3,0,0,0.5435133964371340,0.37906797843041600
13,Type of Care,7,clusterSeven, 'They do not follow any self-care system or use alternative medicine before going to the doctor.',100,0,0,0,0,0,0,0.3,0,-0.0639175618383731,0.4695221697553070
16,Type of Care,7,clusterSeven, 'Drink plenty of water to keep your body clean from the inside.',100,0,0,0,0,0,0,0.3,0,-0.7313142999453110,-0.39575008233187300
17,Type of Care,7,clusterSeven, 'Stay away from ready-made food and canned foods.',100,0,0,0,0,0,0,0.3,0,0.02818632970673960,-0.8334571221961530
18,Type of Care,7,clusterSeven, 'Secure adequate and good accommodation with good temperature levels in the summer and winter.',100,0,0,0,0,0,0,0.3,0,-0.5131103485333510,0.6077695977342210
39,Berfore,7,clusterSeven, 'Relying on self-care if one of their children is exposed to certain symptoms and that they do not resort to the doctor immediately (they use herbs pain killers and children's hypothermia drugs are always available at home).',100,0,1,0,0,0,0,0,0.3,0.20930929652265600,0.43683633636953300
45,Berfore,7,clusterSeven, 'With severe abdominal pain she was new in the area and she relied on painkillers/herbs which were very costly.',100,0,1,0,0,0,0,0,0.3,0.11025969471797400,0.4182216158659680
57,Berfore,7,clusterSeven, 'Some of them had a chronic disease before they came to Jordan.',100,0,1,0,0,0,0,0,0.3,-0.7633638452368900,-0.19987942240942800
59,Berfore,7,clusterSeven, 'They asked the neighbors and acquaintances in the area where they live.',100,0,1,0,0,0,0,0,0.3,0.7370628895047090,-0.30054623723774400
62,Berfore,7,clusterSeven, 'The <span>participant</span> <span>mentioned</span> that they drink bottled water look for accommodation in a well-ventilated house to avoid mold <span>pay</span> attention to the quality of the food they consume and refrain from eating canned and ready-made food all in order to maintain their <span>health</span> and the <span>health</span> of their families.',100,0,1,0,0,0,0,0,0.3,0.45015585411931000,0.2046318239056260
63,Berfore,7,clusterSeven, 'They also do this so they don’t need to go to the doctor.',100,0,1,0,0,0,0,0,0.3,-0.1855120699017080,0.32052301739480300
65,Berfore,7,clusterSeven, 'However they have to <span>pay</span> for all that despite the fact that they do not always have the funds to do so.',100,0,1,0,0,0,0,0,0.3,-0.36857069578773400,0.6715935720089700
66,Berfore,7,clusterSeven, 'One <span>participant</span> stated that she walks daily and drinks green tea not for self-care but to calm herself.',100,0,1,0,0,0,0,0,0.3,0.7118609554573870,0.2995844303249240
67,Berfore,7,clusterSeven, 'Another <span>participants</span> <span>mentioned</span> as all other <span>participants</span> in the session agreed with her that she knows the importance of eating fruit especially apples in the morning but they cannot keep on doing this because they cannot purchase apples regularly.',100,0,1,0,0,0,0,0,0.3,0.6674928947870090,0.2676778019555280
68,Berfore,7,clusterSeven, 'One <span>participant</span> confirmed that her family always rely on the use of painkillers in the event of a headache or any other sort of pain and do not go to the doctor unless their <span>health</span> deteriorated.',100,0,1,0,0,0,0,0,0.3,0.28629161334510100,0.3350315947644460
69,Berfore,7,clusterSeven, 'They used to go to the pharmacy and purchase painkillers.',100,0,1,0,0,0,0,0,0.3,0.8189538912733930,0.07802476022192510
72,Berfore,7,clusterSeven, 'The relaxation behavior followed by most of the <span>participants</span> is sitting alone in a dark place and listening to music crying or speaking to a Facebook friend and not a friend in reality.',100,0,1,0,0,0,0,0,0.3,0.7000271369380880,0.27284023682700300
77,Berfore,7,clusterSeven,She was undernourished due to the current conditions.,,0,1,0,0,0,0,0,0.3,-0.7179818746311300,0.28436942475242800
78,Berfore,7,clusterSeven,"During my pregnancy at Zaatari camp, my kidney was exerting pressure on the fetus.",,0,1,0,0,0,0,0,0.3,-0.807118728626188,-0.02562288226629920
81,During,7,clusterSeven, 'Another said: “If you have money then you are a Pasha 'Sir'”.',100,0,0,0.3,0,0,0,0,0,-0.7171768091801740,-0.31654961848117100
87,During,7,clusterSeven,'I woke up at 5:30 am to book to get in line early after some friends recommended I do so.',100,0,0,0.3,0,0,0,0,0,0.3690231228380550,0.605033445664748
97,During,7,clusterSeven, 'He underwent a gastroscopy because of the severe internal bleeding in the stomach.',100,0,0,0.3,0,0,0,0,0,0.6274280555371420,0.41231088686867200
105,During,7,clusterSeven, 'They stand in line to register their names and then go to accounting to <span>pay</span> for the diagnosis.',100,0,0,0.3,0,0,0,0,0,-0.7220084111002280,0.1626135774409880
111,During,7,clusterSeven, 'Officials deal with them as mere papers and IDs',100,0,0,0.3,0,0,0,0,0,-0.12374746948902500,-0.8242920124475420
112,During,7,clusterSeven, 'The <span>participants</span> have also disclosed that they do not have IDs or <span>health</span> insurance.',100,0,0,0.3,0,0,0,0,0,0.6371000988925630,0.17700412773448600
114,During,7,clusterSeven, 'Some of them go to pharmacies to buy medicine.',100,0,0,0.3,0,0,0,0,0,-0.8045922372993510,0.12990168371519000
128,During,7,clusterSeven,The <span>organizations</span> showed indifference - and ineffectiveness.,,0,0,0.3,0,0,0,0,0,0.7608760543247150,-0.15675951750474700
132,After,7,clusterSeven, 'The attempt to obtain <span>health</span> care during the visits was <span>mentioned</span> more than once but the service was not up to par for various reasons such as the fact that some cases are not covered or lack of treatment.',100,0.3,0,0,0,0,0,0,0,0.0785525356010618,-0.3071680125347230
136,After,7,clusterSeven, 'In some cases doctors showed distinctive treatment. Some would follow the patient's condition after some time and ensure his/her safety. When she <span>mentioned</span> this incident I felt that it had touched her and gave her a sense of importance and appreciation.',100,0.3,0,0,0,0,0,0,0,-0.4711795182647780,-0.14588377190419600
139,After,7,clusterSeven, 'He undergoes dialysis twice a week in Amman.',100,0.3,0,0,0,0,0,0,0,-0.8047460662557680,-0.08877339069860310
140,After,7,clusterSeven, 'Expenses are fully covered by Sams because Jordan <span>Health</span> Aid Society does not cover them.',100,0.3,0,0,0,0,0,0,0,0.5541889714389090,-0.2020873146186020
143,After,7,clusterSeven, 'They later discovered that he has low platelets levels and requires blood transfusion.',100,0.3,0,0,0,0,0,0,0,-0.8090717321966780,0.04605393745384080
153,After,7,clusterSeven, 'Now she has to go and buy the very expensive medicine which she cannot afford.',100,0.3,0,0,0,0,0,0,0,-0.7079616751382030,0.04881284200768850
154,After,7,clusterSeven, 'So she returned home in a state of severe depression.',100,0.3,0,0,0,0,0,0,0,0.6210645349289870,0.49575280768576800
159,After,7,clusterSeven,There were many obstacles and a lack of credibility.,,0.3,0,0,0,0,0,0,0,0.12476834436540900,-0.7967775791953660
170,Outside Analysis,7,clusterSeven, 'Describe other experiences that do not fit the frame (before during and after):',100,0,0,0,0,0.3,0,0,0,0.7623553294126600,0.1919435942780340
183,Outside Analysis,7,clusterSeven, 'All the processes she took are correct but she was deluded to think she can get some financial support so all of her observations were about not getting any financial support.',100,0,0,0,0,0.3,0,0,0,0.7468452359224590,0.14024055717332100
185,Outside Analysis,7,clusterSeven, 'She only <span>mentioned</span> and simple mechanisms that other members of the groups already <span>mentioned</span>.',100,0,0,0,0,0.3,0,0,0,-0.6845299424578790,-0.35071753038317700
186,Outside Analysis,7,clusterSeven, 'She had very sad eyes while telling the story.',100,0,0,0,0,0.3,0,0,0,-0.7056767551048800,0.22194278765424400
188,Outside Analysis,7,clusterSeven, 'She believes justice is more important than financial support.',100,0,0,0,0,0.3,0,0,0,-0.2533263129821820,0.7410039061225270
189,Outside Analysis,7,clusterSeven, 'She and her brother requires psychological support.',100,0,0,0,0,0.3,0,0,0,-0.3957135100374520,0.7219724608194480
190,Outside Analysis,7,clusterSeven, 'Yes some cases have no stages (before - after - during) because they are urgent and constitute an emergency (no warning).',100,0,0,0,0,0.3,0,0,0,0.7251055641527440,-0.01596795189761610
200,Outside Analysis,7,clusterSeven,'When they arrived she was asked to <span>pay</span> 50 JDs as insurance.',100,0,0,0,0,0.3,0,0,0,-0.31115400311206000,0.6636572183402460
223,Outside Analysis,7,clusterSeven, 'They also thanked IRC for taking the time to listen to their problems.',100,0,0,0,0,0.3,0,0,0,0.2974925924058170,0.7054160739822270
228,Personal,7,clusterSeven,'Financial support does not cover 70% of full treatment as reported by most <span>health</span> care <span>organizations</span>.',100,0,0,0,0,0,0.3,0,0,0.40584330686563500,-0.2150780569276730
231,Personal,7,clusterSeven, 'All of the interviewees have the same problem but in different ways.',100,0,0,0,0,0,0.3,0,0,0.33378802290234600,0.7129926112801340
236,Personal,7,clusterSeven, 'Some go to <span>organizations</span> and discover that they had the wrong address.',100,0,0,0,0,0,0.3,0,0,0.7608751238328240,-0.1567664334517200
243,Personal,7,clusterSeven, 'When I asked them about the <span>organizations</span> and the difference between IRC and other <span>organizations</span>.',100,0,0,0,0,0,0.3,0,0,0.743672789065578,-0.19200837378038100
246,Personal,7,clusterSeven, 'They also said that the employees are Syrian who only help their relatives.',100,0,0,0,0,0,0.3,0,0,0.25936506537721700,-0.7422370161598220
252,Personal,7,clusterSeven, 'Most refugees resort to good <span>healthy</span> habits that reduce their risk of disease and when they have a simple illness or <span>health</span> condition they resort to painkillers or alternative natural treatments.',100,0,0,0,0,0,0.3,0,0,-0.202584923737657,-0.22973687153939200
255,Personal,7,clusterSeven, 'People were very interested in attending awareness and <span>health</span> education lectures as they consider them to be a source of learning that could help them avoid diseases.',100,0,0,0,0,0,0.3,0,0,0.43376529535336000,-0.4343290923580870
3,Intro,8,clusterEight, 'Lack of credibility in dealing nepotism and favoritism carelessness by employees financial exploitation (<span>transportation</span> / taxi).',100,0,0,0,0.3,0,0,0,0,-0.6885131422344800,-0.16505228558597000
10,Intro,8,clusterEight, 'One of the <span>women</span> is a beneficiary of Amal Association.',100,0,0,0,0.3,0,0,0,0,0.4663359224139470,-0.6537504761273660
29,Berfore,8,clusterEight, 'In the event that a free service is available in another governorate they can handle the burden and <span>transportation</span> costs if the service was good.',100,0,1,0,0,0,0,0,0.3,-0.3094903202172020,-0.16732974203928200
51,Berfore,8,clusterEight," 'When we are in a very critical health situation the first thing we can think of is where to go? Who will help us? Are there organizations close by so we do not have endure troubles in <span>transportation</span>?""",100,0,1,0,0,0,0,0,0.3,0.221156328441014,0.22835879174565800
86,During,8,clusterEight, '<span>Access</span> to the health care centers is challenging if they are remote or in an area not well-served by public <span>transportation</span> as users tend to avoid being exploited by taxi drivers.',100,0,0,0.3,0,0,0,0,0,0.4587492327197010,-0.16800069233405600
142,After,8,clusterEight,'The treatment and the <span>transportation</span> to Amman is causing physical and psychological exhaustion not to mention that the cost of <span>transportation</span> for every dialysis session is 35 JDs.',100,0.3,0,0,0,0,0,0,0,-0.57414179304233,-0.37457044046123600
171,Outside Analysis,8,clusterEight, 'The burdens of <span>transportation</span> was mentioned.',100,0,0,0,0,0.3,0,0,0,-0.7020934983796280,-0.24137698374764400
179,Outside Analysis,8,clusterEight, 'It was mentioned that lack of money is the biggest obstacle to receiving good <span>services</span> in addition to the exploitation and high cost of <span>transportation</span>.',100,0,0,0,0,0.3,0,0,0,-0.5371305807073390,-0.2796782835111730
182,Outside Analysis,8,clusterEight, 'I wish there were healthcare locations in vital areas with easy and <span>access</span>ible <span>transportation</span>s.',100,0,0,0,0,0.3,0,0,0,0.5176532970223170,0.24684085120954100
192,Outside Analysis,8,clusterEight,'A 45 years old Syrian <span>woman</span> told me her experience.',100,0,0,0,0,0.3,0,0,0,-0.051201739531009400,0.6919333879487770
210,Outside Analysis,8,clusterEight,'I had a meeting with 3 young married <span>women</span> the oldest of which is 42 years old.',100,0,0,0,0,0.3,0,0,0,-0.6620329524444880,0.0528718444277673
211,Outside Analysis,8,clusterEight, 'We talked about how to <span>access</span> and obtain health care <span>services</span> and how each of them decided to go to the doctor.',100,0,0,0,0,0.3,0,0,0,0.28536035106754200,-0.0019263300905098500
213,Outside Analysis,8,clusterEight, 'All of the <span>women</span> have had difficulty <span>access</span>ing to health <span>services</span> because of <span>transportation</span> and its cost.',100,0,0,0,0,0.3,0,0,0,0.028215565284509100,-0.03811681948861020
218,Outside Analysis,8,clusterEight, 'One of the <span>women</span> visited the Emirati hospital in Mafraq to receive treatment but regretted her decision because she had difficulty in <span>access</span>ing and obtaining the health <span>services</span> there.',100,0,0,0,0,0.3,0,0,0,-0.14560751453966800,0.05571155879067730
227,Personal,8,clusterEight, 'The need to <span>access</span> basic health <span>services</span> is a major obstacle for our Syrian brothers and sisters.',100,0,0,0,0,0,0.3,0,0,0.23202148417212400,0.03579554498041620
251,Personal,8,clusterEight, 'They believe these <span>services</span> are useless and hard to <span>access</span>.',100,0,0,0,0,0,0.3,0,0,0.42239170066081300,-0.5111673393478110
8,Intro,9,clusterNine, 'They suffer from <span>long</span> <span>waiting</span> <span>times</span> because of the pressure on the Emirati Hospital.',100,0,0,0,0.3,0,0,0,0,-0.24501049461182900,0.5307612247946670
82,During,9,clusterNine, 'Bad diagnoses and mismanagement were reported at health centers as well as over-crowding (too many patients) malpractices <span>long</span> <span>waiting</span> <span>times</span> and having to <span>wait</span> for free service hoping that they would turn out to be good.',100,0,0,0.3,0,0,0,0,0,0.07485706161673380,0.25573862793733500
85,During,9,clusterNine, 'In general the poor <span>waiting</span> experience in some places has been a source of complain especially with the existence of children.',100,0,0,0.3,0,0,0,0,0,0.2382449502716840,0.51761424605368
95,During,9,clusterNine,'Then after 5 hours of <span>waiting</span> for approvals.',100,0,0,0.3,0,0,0,0,0,-0.16133989049261900,0.746094018767123
102,During,9,clusterNine, 'I always stand in line but my children have the experience and intelligence to find what is appropriate for me so I do not <span>wait</span> <span>long</span> <span>Doctor</span>s treat me just fine and the treatment itself is excellent.',100,0,0,0.3,0,0,0,0,0,-0.011196585809074900,0.36021908384539900
106,During,9,clusterNine, 'Afterwards they <span>wait</span> until their turn comes and then <span>wait</span> in hours and after all this trouble they see the <span>doctor</span> who without any examinations talks to them and provides the diagnosis.',100,0,0,0.3,0,0,0,0,0,-0.10256178498385800,0.5142746817900750
145,After,9,clusterNine, 'They think this is much better than standing in a <span>long</span> queue or being told that there are no <span>doctor</span>s.',100,0.3,0,0,0,0,0,0,0,-0.1862753299885630,0.5743899620972540
152,After,9,clusterNine, 'This happened after she <span>wait</span>ed a <span>long</span> time to be seen by the <span>doctor</span> and travelled a <span>long</span> distance in public transportation.',100,0.3,0,0,0,0,0,0,0,-0.1999852855641020,0.5901559577520570
156,After,9,clusterNine,We <span>wait</span>ed a <span>long</span> time for help - eventually we raised the money. ,,0.3,0,0,0,0,0,0,0,-0.15984726384640200,0.6468726640378690
172,Outside Analysis,9,clusterNine, 'Some even said that they move from one place to another to another to reduce the cost of treatment and shorten the <span>waiting</span> time for services in nearby centers.',100,0,0,0,0,0.3,0,0,0,-0.1902385877204950,-0.34884889657773000
219,Outside Analysis,9,clusterNine,'She also had to <span>wait</span> for over 6 hours in a queue.',100,0,0,0,0,0.3,0,0,0,-0.16133989049263900,0.7460940187671170
6,Intro,10,clusterTen, 'We <span>need</span> <span>medical</span> security because we are afraid aid might be cut off just like the <span>case</span> with Jordan Health Aid Society.',100,0,0,0,0.3,0,0,0,0,0.322020988485857,-0.4508671974114990
15,Type of Care,10,clusterTen, 'The types of care were limited to clinics and hospitals self-care and consultations with <span>pharmacists</span>.',100,0,0,0,0,0,0,0.3,0,-0.35370327717760500,0.40922252667985000
31,Berfore,10,clusterTen, 'Not relying on an herbal-based <span>medication</span> system or alternative medicine.',100,0,1,0,0,0,0,0,0.3,0.11116292115428900,-0.7054797838295420
40,Berfore,10,clusterTen, 'At other times they depend on the <span>pharmacist</span>’s diagnosis in order to prescribe <span>medications</span> without a doctor.',100,0,1,0,0,0,0,0,0.3,-0.074311904119717,0.3480586290866360
53,Berfore,10,clusterTen, 'I have children in their thirties who are helping me get <span>medical</span> care book appointments even follow up my treatment but unfortunately they will be leaving the country and I do not know what to do with my health.',100,0,1,0,0,0,0,0,0.3,0.23518509347152900,-0.34051116707378300
74,Berfore,10,clusterTen, 'Instead they prefer to go to a nearby or trusted <span>pharmacist</span>.',100,0,1,0,0,0,0,0,0.3,-0.015227685291463600,0.774952159880939
75,Berfore,10,clusterTen, 'They always help family members and friends in any <span>medical</span> condition by taking them to this trusted <span>pharmacist</span>.',100,0,1,0,0,0,0,0,0.3,0.06556713977758940,0.49203883428682700
100,During,10,clusterTen, 'Some people get full <span>medication</span> attention and get treated well while others do not enjoy this advantage?',100,0,0,0.3,0,0,0,0,0,0.21138863425409900,-0.6416917299560110
108,During,10,clusterTen, 'After that they don’t receive any treatment or the <span>medication</span> is not prescribed to them and even if they were given a prescription the <span>medication</span> is not available in the center and they have to buy it from private pharmacies outside the governmental center.',100,0,0,0.3,0,0,0,0,0,0.07286658866254130,-0.4821476184540540
115,During,10,clusterTen, 'They explain the symptoms to the <span>pharmacist</span> who then prescribes <span>medications</span> based on their description of the symptoms.',100,0,0,0.3,0,0,0,0,0,0.09304961547763330,0.5442562536535190
117,During,10,clusterTen, 'The girl did not get a good treatment examination or <span>medication</span> and thus did not get better.',100,0,0,0.3,0,0,0,0,0,-0.29055187097580100,-0.6807525118410540
118,During,10,clusterTen, 'She took the child to a well-known <span>pharmacist</span> in the area where she lives who diagnosed the condition and gave her a different drug.',100,0,0,0.3,0,0,0,0,0,0.026695905193878200,0.7113387780422400
119,During,10,clusterTen, 'The child’s health improved because of this new drug which deepened the family’s trust in this <span>pharmacist</span>.',100,0,0,0.3,0,0,0,0,0,0.16433476219965100,0.5740445321114310
120,During,10,clusterTen, 'The <span>pharmacist</span> was kind and sympathetic and showed compassion with the child’s condition.',100,0,0,0.3,0,0,0,0,0,0.026695905193878200,0.7113387780422390
135,After,10,clusterTen, 'In some <span>cases</span> lack of free <span>medication</span> was a major problem which sometimes forced users to overlook the disease and not take any <span>medications</span>.',100,0.3,0,0,0,0,0,0,0,0.15708071397261000,-0.6146888039624130
151,After,10,clusterTen, 'Instead the doctor wrote her a prescription to buy the <span>medications</span> herself from outside the center.',100,0.3,0,0,0,0,0,0,0,0.14291849654612500,-0.43835900225607100
164,After,10,clusterTen,The <span>case</span> was treated by a <span>medical</span> prescription and high costs that we had to defray.,,0.3,0,0,0,0,0,0,0,0.05480474018510720,-0.6439208165642160
167,After,10,clusterTen,Then we returned to remove the stitches + buy <span>medications</span> at our own expense - difficulty in transportation.,,0.3,0,0,0,0,0,0,0,-0.5603631319450490,-0.430756508901068
206,Outside Analysis,10,clusterTen, 'There are five <span>case</span>s in the house that requires <span>medical</span> attention.',100,0,0,0,0,0.3,0,0,0,0.17599750006534300,-0.7039996271019750
208,Outside Analysis,10,clusterTen, 'She said she does not want anything no money or anything besides a safe place that meets her <span>medical</span> <span>need</span>s.',100,0,0,0,0,0.3,0,0,0,0.008167166949525530,-0.7251244532883840
230,Personal,10,clusterTen, 'Organizations <span>need</span> to work together closely because I believe the main reason Syrians left their country was not bullets or bombs like most other people but the fear that they could not receive the periodic <span>medical</span> treatment they <span>need</span> to survive.’,100,0,0,0,0,0,0.3,0,0,0.04429501225865430,-0.5423688206395620
240,Personal,10,clusterTen, 'They are people like us and one of the simplest rights they deserve is <span>medical</span> treatment for them and their children.',100,0,0,0,0,0,0.3,0,0,0.011444709869124700,-0.6165032423366890