word,freq,cluster#,,,,,,
board,377,0,,,,,,
brand,195,0,,,,,,
business,292,0,,,,,,
capital,216,0,,,,,,
center,46,0,,,,,,
community,147,0,,,,,,
data,159,0,,,,,,
donors,283,0,,,,,,
example,281,0,,,,,,
financial,226,0,,,,,,
for-profit,232,0,,,,,,
foundation,92,0,,,,,,
funders,237,0,,,,,,
giving,140,0,,,,,,
good,156,0,,,,,,
government,242,0,,,,,,
group,165,0,,,,,,
growth,145,0,,,,,,
help,253,0,,,,,,
impact,243,0,,,,,,
important,200,0,,,,,,
leaders,245,0,,,,,,
leadership,151,0,,,,,,
local,190,0,,,,,,
management,229,0,,,,,,
members,215,0,,,,,,
million,204,0,,,,,,
mission,209,0,,,,,,
money,211,0,,,,,,
percent,214,0,,,,,,
performance,157,0,,,,,,
program,262,0,,,,,,
programs,235,0,,,,,,
public,230,0,,,,,,
research,194,0,,,,,,
resources,165,0,,,,,,
says,220,0,,,,,,
service,201,0,,,,,,
services,292,0,,,,,,
staff,209,0,,,,,,
support,197,0,,,,,,
use,202,0,,,,,,
world,100,0,,,,,,
funding,416,0,,,,,,